,english,spanish
173,"bill, account", cuenta
174,leather, cuero
175,to take care of, cuidar
176,birthday, cumpleaños
177,to fulfill, cumplir
178,brother-in-law, cuñado
179,curiosity, curiosidad
180,course, curso
181,to give, dar
182,damage, daño
183,dance, danza
184,to realize, darse cuenta
185,data, datos
186,should, deber
187,homework, deberes
188,weak, débil
189,"to say, to tell", decir
190,decision, decisión
191,to leave, dejar
192,delicious, delicioso
193,too much, demasiado
194,democracy, democracia
195,inside, dentro
196,sport, deporte
197,"right, law", derecho
198,to disappear, desaparecer
199,breakfast, desayuno
200,to rest, descansar
201,unknown, desconocido
202,to describe, describir
203,to discover, descubrir
204,"since, from", desde
205,to wish, desear
206,desert, desierto
207,slowly, despacio
208,after, después
209,destination, destino
210,destruction, destrucción
211,to destroy, destruir
212,detail, detalle
213,to stop, detener
214,to determine, determinar
215,to return (an item), devolver
216,day, día
217,to draw, dibujar
218,difficult, difícil
219,money, dinero
220,"address, direction", dirección
221,director, director
222,to discuss, discutir
223,different, distinto
224,diverse, diverso
225,to have fun, divertirse
226,to divide, dividir
227,double, doble
228,doctor, doctor
229,to hurt, doler
230,pain, dolor
231,to sleep, dormir
232,where, donde
233,during, durante
234,hard, duro
235,economy, economía
236,age, edad
237,effect, efecto
238,to exercise (a right), ejercer
239,example, ejemplo
240,to choose, elegir
241,they, ellos
242,she, ella
243,embargo, embargo
244,to start, empezar
245,company, empresa
246,to push, empujar
247,"in, on", en
248,to find, encontrar
249,enemy, enemigo
250,energy, energía
251,angry, enfadado
252,sick, enfermo
253,to understand, entender
254,whole, entero
255,entrance, entrada
256,between, entre
257,interview, entrevista
258,to send, enviar
259,"period, era", época
260,to make a mistake, equivocarse
261,to escape, escapar
262,to write, escribir
263,to listen, escuchar
264,school, escuela
265,effort, esfuerzo
266,space, espacio
267,"to wait, to hope", esperar
268,wife, esposa
269,husband, esposo
270,to be, estar
271,star, estrella
272,to study, estudiar
273,success, éxito
274,to explain, explicar
275,to explore, explorar
276,to express, expresar
277,to extend, extender
278,to miss (someone), extrañar
279,factory, fábrica
280,easy, fácil
281,bill, factura
282,faculty, facultad
283,lack, falta
284,to lack, faltar
285,family, familia
286,famous, famoso
287,favor, favor
288,February, febrero
289,date, fecha
290,happy, feliz
291,phenomenal, fenomenal
292,party, fiesta
293,figure, figura
294,to fix, fijar
295,final, final
296,end, fin
297,finally, finalmente
298,signature, firma
299,firm, firme
300,thin, flaco
301,flower, flor
302,to flow, fluir
303,background, fondo
304,"form, shape", forma
305,to form, formar
306,to force, forzar
307,photo, foto
308,sentence, frase
309,frequent, frecuente
310,fresh, fresco
311,cold, frío
312,border, frontera
313,fruit, fruto
314,to function, funcionar
315,future, futuro
316,to win, ganar
317,cat, gato
318,people, gente
319,to turn, girar
320,government, gobierno
321,goal, gol
322,to hit, golpear
323,cap, gorra
324,thank you, gracias
325,big, grande
326,farm, granja
327,free (no cost), gratis
328,serious, grave
329,gray, gris
330,group, grupo
331,to keep, guardar
332,war, guerra
333,guide, guía
334,taste, gusto
335,to have (auxiliary verb), haber
336,room, habitación
337,to speak, hablar
338,"to do, to make", hacer
339,until, hasta
340,"there is, there are", hay
341,ice cream, helado
342,wound, herida
343,hero, héroe
344,beautiful, hermoso
345,today, hoy
346,man, hombre
347,deep, hondo
348,hour, hora
349,horrible, horrible
350,hospital, hospital
351,hotel, hotel
352,to flee, huir
353,human, humano
354,humor, humor
355,idea, idea
356,church, iglesia
357,equal, igual
358,to imagine, imaginar
359,to prevent, impedir
360,importance, importancia
361,important, importante
362,impossible, imposible
363,to include, incluir
364,even, incluso
365,to indicate, indicar
366,industry, industria
367,to influence, influir
368,information, información
369,to inform, informar
370,engineer, ingeniero
371,unfair, injusto
372,to register, inscribir
373,to insist, insistir
374,instant, instante
375,to try, intentar
376,interest, interés
377,interesting, interesante
378,to invite, invitar
379,to go, ir
380,island, isla
381,left, izquierdo
382,soap, jabón
383,never, jamás
384,garden, jardín
385,boss, jefe
386,young, joven
387,player, jugador
388,to play, jugar
389,youth, juventud
390,side, lado
391,thief, ladrón
392,lake, lago
393,lamp, lámpara
394,"tongue, language", lengua
395,to lift, levantar
396,freedom, libertad
397,free, libre
398,book, libro
399,to arrive, llegar
400,to fill, llenar
401,to carry, llevar
402,to cry, llorar
403,rain, lluvia
404,to call, llamar
405,key, llave
406,place, lugar
407,light, luz
408,mother, madre
409,"tomorrow, morning", mañana
410,to maintain, mantener
411,hand, mano
412,map, mapa
413,to mark, marcar
414,wonder, maravilla
415,March, marzo
416,to kill, matar
417,material, material
418,registration, matrícula
419,older, mayor
420,majority, mayoría
421,mostly, mayormente
422,to measure, medir
423,to improve, mejorar
424,memory, memoria
425,to mention, mencionar
426,less, menos
427,lie, mentira
428,market, mercado
429,snack, merienda
430,table, mesa
431,metal, metal
432,meter, metro
433,to look, mirar
434,same, mismo
435,half, mitad
436,mobile, móvil
437,to bother, molestar
438,moment, momento
439,mountain, montaña
440,to die, morir
441,to show, mostrar
442,to motivate, motivar
443,to move, mover
444,"much, a lot", mucho
445,woman, mujer
446,world, mundo
447,municipality, municipio
448,muscle, músculo
449,museum, museo
450,music, música
451,to be born, nacer
452,national, nacional
453,nothing, nada
454,nobody, nadie
455,natural, natural
456,necessary, necesario
457,need, necesidad
458,to need, necesitar
459,to negotiate, negociar
460,business, negocio
461,black, negro
462,none, ninguno
463,child, niño
464,no, no
465,night, noche
466,name, nombre
467,we, nosotros
468,to notice, notar
469,novelty, novedad
470,November, noviembre
471,our, nuestro
472,new, nuevo
473,never, nunca
474,objective, objetivo
475,to observe, observar
476,to obtain, obtener
477,occasion, ocasión
478,ocean, océano
479,October, octubre
480,to hide, ocultar
481,to occupy, ocupar
482,to occur, ocurrir
483,to hate, odiar
484,to hear, oír
485,to forget, olvidar
486,eleven, once
487,option, opción
488,opinion, opinión
489,to organize, organizar
490,origin, origen
491,gold, oro
492,dark, oscuro
493,other, otro
494,country, país
495,page, página
496,to pay, pagar
497,couple, pareja
498,wall, pared
499,to seem, parecer
500,part, parte
501,"match, game", partido
502,to pass, pasar
503,walk, paseo
504,passion, pasión
505,past, pasado
506,to ask for, pedir
507,"to hit, to stick", pegar
508,danger, peligro
509,movie, película
510,to think, pensar
511,small, pequeño
512,to lose, perder
513,perfectly, perfectamente
514,perfume, perfume
515,dangerous, peligroso
516,journalist, periodista
517,dog, perro
518,person, persona
519,personal, personal
520,personality, personalidad
521,character, personaje
522,to disturb, perturbar
523,to weigh, pesar
524,oil, petróleo
525,foot, pie
526,skin, piel
527,stone, piedra
528,piece, pieza
529,pilot, piloto
530,to paint, pintar
531,swimming pool, piscina
532,floor, piso
533,pleasure, placer
534,plan, plan
535,plant, planta
536,silver, plata
537,pen, pluma
538,poor, pobre
539,"to be able to, power", poder
540,politician, político
541,to put, poner
542,popular, popular
543,"by, for", por
544,because, porque
545,to own, poseer
546,possible, posible
547,postcard, postal
548,power, potencia
549,price, precio
550,precisely, precisamente
551,precise, preciso
552,to prefer, preferir
553,to ask, preguntar
554,question, pregunta
555,prize, premio
556,to prepare, preparar
557,present, presente
558,to press, presionar
559,president, presidente
560,to boast, presumir
561,to intend, pretender
562,cousin, primo
563,first, primero
564,main, principal
565,beginning, principio
566,hurry, prisa
567,problem, problema
568,process, proceso
569,product, producto
570,to produce, producir
571,deep, profundo
572,program, programa
573,to prohibit, prohibir
574,to promise, prometer
575,soon, pronto
576,own, propio
577,proposal, propuesta
578,to protect, proteger
579,to protest, protestar
580,benefit, provecho
581,next, próximo
582,test, prueba
583,public, público
584,"village, town", pueblo
585,door, puerta
586,well, pues
587,position, puesto
588,pure, puro
589,to break, quebrar
590,dear, querido
591,cheese, queso
592,who, quien
593,maybe, quizá
594,fast, rápido
595,while, rato
596,reasonable, razonable
597,"to perform, to accomplish", realizar
598,to receive, recibir
599,to recognize, reconocer
600,memory, recuerdo
601,to reduce, reducir
602,to refer, referir
603,to reflect, reflexionar
604,gift, regalo
605,to return, regresar
606,rule, regla
607,queen, reina
608,to laugh, reír
609,to relate, relacionar
610,religious, religioso
611,to row, remar
612,to replace, reemplazar
613,to surrender, rendir
614,to repeat, repetir
615,replacement, reemplazo
616,to repair, reparar
617,to review, repasar
618,to distribute, repartir
619,respect, respeto
620,to respond, responder
621,restaurant, restaurante
622,to delay, retrasar
623,to meet, reunirse
624,to review, revisar
625,king, rey
626,rich, rico
627,risk, riesgo
628,laughter, risa
629,to steal, robar
630,rock, roca
631,red, rojo
632,clothing, ropa
633,rose, rosa
634,broken, roto
635,wheel, rueda
636,noise, ruido
637,direction, rumbo
638,to know, saber
639,to take out, sacar
640,room, sala
641,to go out, salir
642,health, salud
643,to greet, saludar
644,jump, salto
645,to save, salvar
646,blood, sangre
647,saint, santo
648,taste, sabor
649,week, semana
650,to feel, sentir
651,to feel, sentir
652,to separate, separar
653,safe, seguro
654,to be, ser
655,serious, serio
656,to serve, servir
657,yes, sí
658,chair, silla
659,always, siempre
660,simple, simple
661,nice, simpático
662,without, sin
663,sincere, sincero
664,place, sitio
665,situation, situación
666,"about, on", sobre
667,society, sociedad
668,sun, sol
669,alone, solo
670,solution, solución
671,shadow, sombre
672,to sound, sonar
673,to surprise, sorprender
674,to hold, sostener
675,to happen, suceder
676,floor, suelo
677,to suffer, sufrir
678,to suggest, sugerir
679,luck, suerte
680,to soften, suavizar
681,salary, sueldo
682,floor, suelo
683,dream, sueño
684,to suppose, suponer
685,to arise, surgir
686,south, sur
687,scare, susto
688,soft, suave
689,workshop, taller
690,heel, talón
691,so, tan
692,so much, tanto
693,late, tarde
694,rate, tarifa
695,cup, taza
696,theater, teatro
697,roof, techo
698,technique, técnica
699,telephone, teléfono
700,television set, televisor
701,theme, tema
702,early, temprano
703,to have, tener
704,tennis, tenis
705,tension, tensión
706,third, tercero
707,ground, terreno
708,terrible, terrible
709,text, texto
710,"time, weather", tiempo
711,store, tienda
712,earth, tierra
713,type, tipo
714,title, título
715,to touch, tocar
716,to take, tomar
717,tone, tono
718,silly, tonto
719,bull, toro
720,total, total
721,to work, trabajar
722,"job, work", trabajo
723,to bring, traer
724,to treat, tratar
725,tremendous, tremendo
726,three, tres
727,sad, triste
728,piece, trozo
729,your, tu
730,you, tú
731,to locate, ubicar
732,useful, útil
733,use, uso
734,cow, vaca
735,to empty, vaciar
736,to be worth, valer
737,several, varios
738,glass, vaso
739,neighbor, vecino
740,speed, velocidad
741,to come, venir
742,truth, verdad
743,green, verde
744,to see, ver
745,summer, verano
746,time (instance), vez
747,to vibrate, vibrar
748,life, vida
749,Friday, viernes
750,wind, viento
751,wine, vino
752,to live, vivir
753,volume, volumen
754,to return, volver
755,to vote, votar
756,voice, voz
757,flight, vuelo
758,vulnerable, vulnerable
759,x, x
760,and, y
761,already, ya
762,son-in-law, yerno
763,I, yo
764,shoe, zapato
765,zone, zona
